DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2018,8368843,6326,5,,,
2018,8362437,6326,6,,,
2018,8364228,6326,7,,,
2018,8437247,6326,8,,,
2018,8437246,6326,9,,,
2018,7835193,6183,1,,,
2018,7925734,6183,2,,,
2018,7958816,6183,3,,,
2018,7978113,6183,4,,,
2018,7994656,6183,5,,,
2018,8368775,6183,6,,,
2018,8364112,6183,7,,,
2018,8364113,6183,8,,,
2018,8435920,6183,9,,,
2018,8435921,6183,10,,,
2018,8433888,6183,11,,,
2018,8436060,6183,12,,,
2018,7835668,6293,1,,,
2018,7925877,6293,2,,,
2018,7954170,6293,3,,,
2018,7978345,6293,4,,,
2018,7995175,6293,5,,,
2018,8368834,6293,6,,,
2018,8364207,6293,7,,,
2018,8368836,6293,8,,,
2018,8435937,6293,9,,,
2018,8435938,6293,10,,,
2018,8436076,6293,11,,,
2018,8436077,6293,12,,,
2018,8364118,6184,1,,,
2018,8437365,6184,2,,,
2018,8433840,6184,3,,,
2018,8372404,6184,4,,,
2018,8575559,6184,5,,,
2018,8368782,6184,6,,,
2018,8372409,6184,7,,,
2018,8575560,6184,8,,,
2018,8368784,6184,9,,,
2018,8574790,6184,10,,,
2018,8575558,6184,11,,,
2018,8575561,6184,12,,,
2018,7835134,6128,1,,,
2018,7924998,6128,2,,,
2018,7953957,6128,3,,,
2018,7978037,6128,4,,,
2018,7994595,6128,5,,,
2018,8364085,6128,6,,,
2018,8362320,6128,7,,,
2018,8364088,6128,8,,,
2018,8435903,6128,9,,,
2018,8435904,6128,10,,,
2018,8437434,6128,11,,,
2018,8437436,6128,12,,,
2018,7835063,6088,1,,,
2018,7924681,6088,2,,,
2018,7953745,6088,3,,,
2018,7977953,6088,4,,,
2018,7994565,6088,5,,,
2018,8368726,6088,6,,,
2018,8364059,6088,7,,,
2018,8368724,6088,8,,,
2018,8368728,6088,9,,,
2018,8435648,6088,10,,,
2018,8437424,6088,11,,,
2018,8436055,6088,12,,,
2018,7925831,6277,1,,,
2018,7954134,6277,2,,,
2018,7978291,6277,3,,,
2018,7978292,6277,4,,,
2018,8364179,6277,5,,,
2018,8364181,6277,6,,,
2018,8364182,6277,7,,,
2018,8368825,6277,8,,,
2018,8433779,6277,9,,,
2018,8433845,6277,10,,,
